query_id,date,tool,query,domain,purpose,key_finding
Q01,2026-07-21,WebSearch,time-series momentum trend following evidence 2024 2025 replication out-of-sample decay,momentum,Verify trend OOS health,2020-25 OOS positive; short/long horizons dominate mid horizons; raw-beta sleeve beats breakouts (arxiv 2507.15876)
Q02,2026-07-21,WebSearch,volatility risk premium strategy performance 2020-2025 short volatility evidence after volmageddon,options_vol,VRP viability post-2018,VRP positive on average; SVOL -33% in 2025 tariff selloff; VIX futures OI at half pre-COVID peak (less crowded)
Q03,2026-07-21,WebSearch,overnight returns anomaly intraday momentum equity 2024 evidence night effect,short_horizon,Overnight drift health,Persistent since 1990s; momentum alpha is overnight (0.95% vs 0.11% intraday); U-shape volume predicts overnight returns
Q04,2026-07-21,WebSearch,machine learning cross-sectional stock return prediction gradient boosting Gu Kelly Xiu replication evidence 2024 2025,ml,GKX replication status,Trees/NNs beat OLS decisively; European replication ~0.6-0.7%/mo edge; breadth is the precondition
Q05,2026-07-21,WebSearch,Norgate Data Sharadar point-in-time survivorship-free stock data pricing 2026,data,Price the key data unlock,Norgate US survivorship-free + PIT constituents subscription; Sharadar 25y fundamentals+prices low cost
Q06,2026-07-21,WebSearch,historical options data cost ORATS CBOE DataShop OptionMetrics retail quant pricing,data,Price options data,ORATS ~$100/mo; ThetaData $40-160/mo; CBOE EOD $500/mo; OptionMetrics institutional-only
Q07,2026-07-21,WebSearch,time series foundation models forecasting TimesFM Chronos Mamba PatchTST 2025 finance benchmark evidence,dl,TSFM finance evidence,2025 benchmark: TSFMs rarely beat scratch baselines on equities (DM test rejects only 2 cases); strong on generic benchmarks
Q08,2026-07-21,WebSearch,LLM news sentiment trading signal evidence 2024 2025 ChatGPT stock return prediction alpha decay,llm,LLM signal evidence,Promising 2024-25 results; signal peaks 3-10 days; priced-in and backfill-bias risks central
Q09,2026-07-21,WebSearch,deep reinforcement learning portfolio trading real out-of-sample evidence failure overfitting 2025,rl,RL reality check,Consistent OOS degradation; overfit detection frameworks exist; execution-level RL more defensible than portfolio RL
Q10,2026-07-21,WebSearch,retail futures managed futures replication small account minimum capital micro futures trend following feasibility,futures,Retail futures feasibility,Micros make 10-15 market trend replication feasible ~$10-25k; commission friction the binding constraint below that
Q11,2026-07-21,WebSearch,pairs trading statistical arbitrage profitability decline evidence 2020s cointegration US equities,stat_arb,Stat arb decay check,Classic distance pairs decayed; bear-market alpha persists; cluster/residual variants still researched (arxiv 2406.10695)
Q12,2026-07-21,WebSearch,factor momentum residual momentum evidence robust 2024 replication crisis anomalies,factor,Factor replication status,Jensen-Kelly-Pedersen: most factors replicate across 93 countries; factor momentum robust; residual momentum holds
Q13,2026-07-21,WebSearch,crypto momentum carry basis trade evidence 2024 2025 perpetual funding rate strategy returns,crypto,Crypto carry status,Funding positive 92% of time; basis compressed 25%->4.5% by end-2025; US perp access constrained
Q14,2026-07-21,WebSearch,graph neural network stock prediction out-of-sample evidence weak baselines critique,dl,GNN evidence quality,Gains sensitive to baseline strength; HAR baselines close most of gap; treat GNNs as Tier 4
Q15,2026-07-21,WebSearch,post earnings announcement drift still profitable 2024 small caps earnings surprise anomaly decay,event,PEAD status,Contested: gone in large caps by ~2006 per Martineau; 2025 papers find alive in small caps; design-choice dependent
Q16,2026-07-21,WebSearch,Interactive Brokers margin rates portfolio margin 2026 retail leverage cost,infrastructure,Leverage cost,IBKR tiered benchmark+spread margin; portfolio margin at $110k+ accounts
Q17,2026-07-21,WebSearch,dispersion trading index versus single name volatility retail feasibility evidence returns,options_vol,Dispersion feasibility,Institutionally profitable; retail execution across 100s of names kills edge; dirty dispersion marginal
