signal_name,source_feature,formula,economic_interpretation,intended_entity_type,expected_use,states_where_it_may_matter,lag_rule,source_ooo1_discovery_score,redundancy_warning
leadlag_EFA_minus_SPY_13w_signal,leadlag_EFA_minus_SPY_13w,"13-week EFA return minus 13-week SPY return, lagged 1 week",international equity leadership / risk regime signal,MARKET,risk confirmation,neutral_mixed|recovery_confirmed|calm_trend,signal value is shifted by 1 week before validation,2.9975,HIGH_PRIORITY_TEST
leadlag_GLD_minus_SPY_13w_signal,leadlag_GLD_minus_SPY_13w,"13-week GLD return minus 13-week SPY return, lagged 1 week",defensive / real-asset leadership signal,MARKET,risk confirmation,stressed_panic|neutral_mixed,signal value is shifted by 1 week before validation,2.915,HIGH_PRIORITY_TEST
leadlag_DBA_minus_SPY_13w_signal,leadlag_DBA_minus_SPY_13w,"13-week DBA return minus 13-week SPY return, lagged 1 week",commodity / inflation-sensitive leadership signal,MARKET,risk confirmation,neutral_mixed|calm_trend,signal value is shifted by 1 week before validation,2.92,HIGH_PRIORITY_TEST
leadlag_HYG_minus_LQD_13w_signal,leadlag_HYG_minus_LQD_13w,"13-week HYG return minus 13-week LQD return, lagged 1 week",credit risk appetite confirmation,MARKET,risk confirmation,calm_trend|recovery_confirmed,signal value is shifted by 1 week before validation,2.52,PROMISING_BUT_NEEDS_VALIDATION
breadth_ret13_positive_signal,breadth_ret13_positive,"share of ETF universe with positive 13-week return, lagged 1 week",broad market participation,MARKET,gate,all,signal value is shifted by 1 week before validation,2.5675,PROMISING_BUT_NEEDS_VALIDATION
breadth_ret26_positive_signal,breadth_ret26_positive,"share of ETF universe with positive 26-week return, lagged 1 week",slower broad market participation,MARKET,gate,all,signal value is shifted by 1 week before validation,2.8375,HIGH_PRIORITY_TEST
canary_breadth_pair_signal,regime_canary_breadth_pair,"existing canary breadth pair field, lagged 1 week",risk-on/risk-off confirmation,MARKET,risk confirmation,all,signal value is shifted by 1 week before validation,2.9275,HIGH_PRIORITY_TEST
recent_stress_26w_signal,regime_recent_stress_26w,"existing recent-stress memory field, lagged 1 week",stress memory / risk regime,MARKET,risk confirmation,stressed_panic|recovery_fragile,signal value is shifted by 1 week before validation,3.0475000000000003,HIGH_PRIORITY_TEST
market_drawdown_signal,regime_market_drawdown,"existing market drawdown field, lagged 1 week",drawdown-state risk confirmation,MARKET,risk confirmation,stressed_panic|recovery_fragile,signal value is shifted by 1 week before validation,3.1950000000000003,HIGH_PRIORITY_TEST
market_trend_positive_signal,regime_market_trend_positive,"existing market trend positive flag, lagged 1 week",trend confirmation,MARKET,gate,calm_trend|neutral_mixed,signal value is shifted by 1 week before validation,2.805,HIGH_PRIORITY_TEST
breadth_ret13_positive_x_recovery_confirmed_signal,breadth_ret13_positive_x_state_recovery_confirmed,lagged 13-week breadth times lagged recovery_confirmed state flag,state-specific breadth participation gate,MARKET,state quality,recovery_confirmed,signal value is shifted by 1 week before validation,2.8775000000000004,STATE_SPECIFIC_ONLY
breadth_ret13_positive_x_neutral_mixed_signal,breadth_ret13_positive_x_state_neutral_mixed,lagged 13-week breadth times lagged neutral_mixed state flag,state-specific breadth participation gate,MARKET,state quality,neutral_mixed,signal value is shifted by 1 week before validation,3.1025,STATE_SPECIFIC_ONLY
breadth_ret13_positive_x_stressed_panic_signal,breadth_ret13_positive_x_state_stressed_panic,lagged 13-week breadth times lagged stressed_panic state flag,state-specific breadth recovery/risk gate,MARKET,state quality,stressed_panic,signal value is shifted by 1 week before validation,3.0425,STATE_SPECIFIC_ONLY
leadlag_HYG_minus_LQD_13w_x_calm_trend_signal,leadlag_HYG_minus_LQD_13w_x_state_calm_trend,lagged HYG-LQD 13-week return spread times lagged calm_trend flag,credit confirmation inside calm trend,MARKET,state quality,calm_trend,signal value is shifted by 1 week before validation,2.8175,STATE_SPECIFIC_ONLY
