technique,origin_field,original_problem,key_idea,financial_representation,required_data,proposed_experiment,expected_advantage,failure_modes,existing_financial_use,novelty,tier,proposed_run
model_predictive_control,control_theory,Process control under constraints,Optimize a receding-horizon plan; re-solve each step,Multi-period rebalancing with transaction costs and forecast decay,daily returns + cost model,MPC rebalancer vs myopic weekly HRP on identical signals,Turnover-aware compounding; principled cost handling,Garbage-in forecasts; horizon mis-spec,established (Boyd et al. cvxportfolio),low,3,Run 35
robust_h_infinity_control,control_theory,Stability under worst-case disturbance,Design for bounded worst case not average,Worst-case-regime-bounded allocation,regime-conditional returns,Robust allocation vs mean-variance under regime uncertainty,Crash resilience without forecasting crashes,Over-conservatism (rebuilding defensive Atlas),some literature,med,4,Run 35
control_barrier_functions,control_theory,Safety-critical control (robotics),Invariant safe sets enforced by construction,Drawdown barrier: position sizes that provably cannot breach loss budget given jump bounds,strategy returns,CBF-style drawdown governor vs stop-loss rules,Principled risk envelope replacing ad hoc guards,Jump risk violates continuity assumptions,rare,high,4,Run 45
wavelet_multiresolution,signal_processing,Denoising; multi-scale decomposition,Separate signal by time-scale,Multi-horizon trend/cycle features per asset,daily prices,Wavelet features vs standard multi-horizon momentum in GBM ranker,Cleaner horizon separation,Boundary effects = look-ahead if careless,moderate literature,low-med,4,Run 36
empirical_mode_decomposition,signal_processing,Nonstationary signal decomposition,Adaptive basis decomposition,Adaptive trend extraction,daily prices,EMD trend vs MA trend on futures,Adaptivity,Mode mixing; endpoint leakage (documented),some,med,5,Run 36
compressed_sensing_sparse_recovery,signal_processing,Recover sparse signals from few measurements,L1 recovery of sparse structure,Sparse factor exposures; sparse pairs baskets,panel returns,Sparse residual baskets vs PCA residuals,Interpretable sparse hedges,Instability of support,moderate (sparse portfolios lit),med,4,Run 7
transfer_entropy,information_theory,Directed information flow (neuroscience),Asymmetric predictive information between series,Lead-lag network on daily stock/sector returns,daily panel,TE-ranked lead-lag pairs vs correlation-ranked; strict nulls,Detects nonlinear directed links correlation misses,Small-sample bias; multiple testing,growing literature,med,4,Run 37
information_bottleneck_mdl,information_theory,Compress inputs keeping predictive info,Minimal sufficient representation,Feature compression for regime states; complexity-penalized strategy selection,features + targets,MDL-scored strategy complexity as overfit filter in discovery pipeline,Principled anti-overfit metric,Approximation looseness,rare,high,4,Run 34
optimal_transport_wasserstein,geometry,Distribution matching (logistics/imaging),Geometry-aware distribution distance,Regime distance (current window vs history); DRO ambiguity sets,return distributions,W-distance regime detector vs z-score engine; DRO portfolio vs mean-variance,Distribution-shift-aware allocation,Curse of dimensionality; estimation noise,active 2020s literature,med,4,Run 38
path_signatures_rough_paths,geometry,Rough differential equations,Canonical path features capturing order-of-events,Signature features of price/vol/volume paths as ML inputs,daily-intraday paths,Signature-augmented GBM vs hand features on same panel,Captures path-dependence hand features miss,Feature explosion; overfit,active 2024-25 finance lit (sig-kernels; sig-vol models),med,4,Run 38
persistent_homology_tda,topology,Shape of high-dim data,Topological invariants across scales,Crash precursors from point-cloud topology of return windows,panel returns,TDA features vs vol/correlation baselines for crash prediction; negative-control framing,Possibly detects structure change early,Evidence weak; likely proxy for correlation,thin literature,high,5,Run 38
